Date/Time,5388_O_OHRA,9991_O_ALTO,5635_O_SEWY,8445_O_LNPL,9063_O_COLS,1400_O_MCCA,4749_O_JEFF,9267_O_SQHL
2026-05-02 13:45:00,19.53333333,18.13333333,,,10.33333333,19.33333333,20.33333333,18.33333333
2026-05-02 14:00:00,16.73333333,17.13333333,,,9.86666667,30.8,16.13333333,17.46666667
2026-05-02 14:15:00,15.26666667,18.86666667,,,9.66666667,20.46666667,16.06666667,17.33333333
2026-05-02 14:30:00,17.0,19.86666667,,,9.4,19.73333333,355.93333333,18.73333333
2026-05-02 14:45:00,18.33333333,23.13333333,,,10.93333333,17.73333333,17.53333333,18.13333333
2026-05-02 15:00:00,18.2,20.86666667,,,10.33333333,16.4,19.6,338.06666667
2026-05-02 15:15:00,15.93333333,19.8,,,10.2,15.46666667,17.33333333,356.06666667
2026-05-02 15:30:00,17.13333333,17.4,,,10.0,15.13333333,49.66666667,19.33333333
2026-05-02 15:45:00,16.86666667,15.66666667,,,10.93333333,14.73333333,16.8,19.4
2026-05-02 16:00:00,16.33333333,17.93333333,,,10.8,12.73333333,18.6,17.6
2026-05-02 16:15:00,14.2,15.73333333,,,15.46666667,12.93333333,26.53333333,16.0
2026-05-02 16:30:00,13.86666667,19.86666667,,28.0,9.26666667,11.86666667,30.26666667,15.33333333
2026-05-02 16:45:00,13.53333333,18.33333333,,15.26666667,7.86666667,11.53333333,22.8,15.4
2026-05-02 17:00:00,11.73333333,18.4,,16.53333333,8.53333333,9.26666667,24.0,14.53333333
2026-05-02 17:15:00,11.26666667,16.8,,14.53333333,8.13333333,9.93333333,20.33333333,14.26666667
2026-05-02 17:30:00,14.53333333,16.13333333,,14.26666667,7.66666667,8.33333333,20.13333333,13.66666667
2026-05-02 17:45:00,11.46666667,16.66666667,,13.86666667,9.53333333,10.2,21.6,12.53333333
2026-05-02 18:00:00,10.66666667,18.4,,13.93333333,8.46666667,10.93333333,24.46666667,12.53333333
2026-05-02 18:15:00,9.66666667,16.8,,13.0,6.53333333,12.73333333,27.2,10.46666667
2026-05-02 18:30:00,9.46666667,16.4,,12.93333333,7.26666667,12.13333333,25.6,10.73333333
2026-05-02 18:45:00,10.86666667,15.06666667,,11.73333333,6.6,11.93333333,32.6,13.53333333
2026-05-02 19:00:00,17.0,15.13333333,,13.13333333,6.93333333,14.13333333,48.13333333,15.13333333
2026-05-02 19:15:00,12.26666667,14.93333333,,14.73333333,7.93333333,20.8,41.2,12.53333333
2026-05-02 19:30:00,11.66666667,20.93333333,,12.2,8.8,24.13333333,42.06666667,11.93333333
2026-05-02 19:45:00,13.0,14.8,,14.0,7.2,59.73333333,43.66666667,14.8
2026-05-02 20:00:00,11.33333333,14.2,,13.93333333,7.93333333,15.8,92.66666667,13.33333333
2026-05-02 20:15:00,25.73333333,16.73333333,,14.13333333,8.8,21.8,22.73333333,14.2
2026-05-02 20:30:00,12.6,16.93333333,,14.66666667,10.86666667,17.4,13.86666667,14.66666667
