Date/Time,1040_O_MCCA,2071_O_NOSD,4124_O_FRONT,4431_O_WBG,4584_O_MOON,5571_O_BUFF,5662_O_DOWN,5679_O_BLOO,6227_O_ELIB,6386_O_SOSI,7543_O_MILL,7956_O_BELL
2016-11-22 16:30:00,1084.8666666666666,1482.466666666667,1614.7333333333331,1515.2666666666669,870.5333333333333,537.6666666666666,1183.8666666666666,1622.666666666667,1282.2,1376.2666666666669,,1060.2666666666667
2016-11-22 16:45:00,1076.2,1399.533333333333,1649.7333333333331,1706.7333333333331,853.4,702.8,1202.8666666666666,1615.6,1407.0666666666666,1490.8,,1149.9333333333334
2016-11-22 17:00:00,1587.9333333333334,2064.4,1468.0,2461.266666666667,917.4,1365.8,1283.0666666666666,1592.0666666666666,1466.8,1654.466666666667,,1851.466666666667
2016-11-22 17:15:00,7020.733333333334,1561.6,1662.0,2056.133333333333,933.8666666666667,3311.6,1281.8666666666666,1639.0,1694.333333333333,1970.4,,1698.4
2016-11-22 17:30:00,1600.1333333333334,1394.4,1831.8666666666666,4085.4,896.4,1705.333333333333,1532.333333333333,1675.8,1794.2,2231.733333333333,,1599.8
2016-11-22 17:45:00,2094.133333333333,1303.3333333333333,2068.133333333333,4508.333333333333,941.0666666666667,803.8,1814.2666666666669,1762.333333333333,1777.0,2373.4666666666667,,1605.0
2016-11-22 18:00:00,2929.133333333333,1321.0,2147.8,5363.8,982.5333333333333,1130.3333333333333,1597.8666666666666,1894.1333333333332,1820.4,2032.2666666666669,,1756.2666666666669
2016-11-22 18:15:00,2958.066666666666,1480.4,2272.2,4465.133333333333,945.4,1376.2666666666669,1392.333333333333,1908.1333333333332,1994.2,2093.4666666666667,,1862.8
2016-11-22 18:30:00,3164.2,1652.2,2292.6666666666665,5231.066666666667,1024.6666666666667,2371.266666666667,1432.2,1784.666666666667,2006.9333333333332,1651.0,,1837.7333333333331
2016-11-22 18:45:00,3699.733333333333,1668.4,2473.266666666667,4255.6,1069.8666666666666,1741.333333333333,1400.2,1956.333333333333,5488.266666666666,2377.0666666666666,,1838.4
2016-11-22 19:00:00,4150.4,1738.8666666666666,2498.5333333333333,4743.333333333333,1054.3333333333333,1622.533333333333,1393.0666666666666,2028.9333333333332,2003.8,2711.866666666667,,1868.0
2016-11-22 19:15:00,4084.8,2092.6,3195.266666666667,4489.133333333333,1145.2,1267.6,1554.2666666666669,2491.2,2085.266666666667,2370.0,,1725.666666666667
2016-11-22 19:30:00,3903.733333333333,1971.0666666666666,3171.0,4771.0,1180.6,1288.8666666666666,1744.466666666667,2955.266666666667,2367.6,2706.866666666667,,1835.4
2016-11-22 19:45:00,3975.8,2007.1333333333332,3600.666666666666,2346.866666666667,1194.2666666666667,1338.2,1756.6,3048.333333333333,2583.333333333333,2913.6,,2160.0
