Date/Time,4363_O_SQHS,7915_O_ROSS,8998_O_CHAR,5571_O_BUFF,1249_O_GRTR,8367_O_DORM,5088_O_DORM,3794_O_DORM,2759_O_BRHT,5624_O_BUFF,4431_O_WBG,8941_O_MTLE,4179_O_SPHL,5623_O_LWCV,3781_O_EDTW
2018-12-19 01:15:00,8034.933333333333,4275.4,326.1333333333333,,1764.3333333333333,2108.6666666666665,2224.2,2575.4,,,,2735.9333333333334,3549.6666666666665,2703.5333333333333,
2018-12-19 01:30:00,8788.8,4337.266666666666,324.3333333333333,,1542.0666666666666,2023.0666666666666,2379.6666666666665,2328.733333333333,,,,2801.6,3603.4,2772.5333333333333,
2018-12-19 01:45:00,10356.0,4310.133333333333,325.73333333333335,,1614.2,1858.8,2820.866666666667,2265.0666666666666,,,,2927.0,3824.6,2943.6,
2018-12-19 02:00:00,12376.533333333333,4314.2,324.2,,1583.7333333333333,1603.2,2889.6,2323.8,,,,2706.266666666667,4252.133333333333,2747.2,
2018-12-19 02:15:00,11038.2,4348.2,328.4,,1648.6,1789.1333333333334,3160.2,2651.9333333333334,,,,2337.5333333333333,5461.2,2647.0,
2018-12-19 02:30:00,10256.466666666667,4338.333333333333,335.6,,2018.2,1787.4666666666667,3173.8,2932.3333333333335,,,,2607.133333333333,6793.133333333333,2706.733333333333,
2018-12-19 02:45:00,10675.933333333332,4286.4,337.26666666666665,,3381.6,1755.3333333333333,3221.4666666666667,2888.3333333333335,,,,2769.3333333333335,6729.8,2825.733333333333,
2018-12-19 03:00:00,10663.533333333333,4407.466666666666,331.46666666666664,,3460.5333333333333,1955.9333333333334,3026.6666666666665,2843.4666666666667,,,,2831.8,6284.0,2906.5333333333333,
2018-12-19 03:15:00,10211.933333333332,4459.4,335.4,,2880.3333333333335,2067.4666666666667,3021.733333333333,3333.6666666666665,,,,2855.3333333333335,7327.933333333333,2901.3333333333335,
2018-12-19 03:30:00,9261.4,4451.066666666667,332.73333333333335,,2103.4666666666667,3591.5333333333333,2685.9333333333334,2910.9333333333334,,,,4939.8,7472.866666666667,2940.6,
2018-12-19 03:45:00,9897.133333333333,4629.133333333333,338.06666666666666,,2388.2,3761.0666666666666,3083.3333333333335,2793.8,,,,4168.733333333334,7901.866666666667,3063.0666666666666,
2018-12-19 04:00:00,9945.933333333332,5186.466666666666,333.8666666666667,,2950.6666666666665,4317.266666666666,3217.2,2476.0666666666666,,,,3327.133333333333,8242.066666666668,3193.733333333333,
2018-12-19 04:15:00,9789.2,5413.466666666666,335.53333333333336,,3101.3333333333335,3484.3333333333335,3316.0666666666666,2871.733333333333,,,,5020.266666666666,8537.533333333333,3211.266666666667,
