Date/Time,2784_O_SQHL,3353_O_MEWD,3911_O_HIPK,1571_O_BLPK,8936_O_WMIF,8230_O_OHAK,2544_O_MANA,6098_O_WMIF,8063_O_PTBR,5572_O_MESD,5351_O_PTBR,1213_O_ROSS,1613_O_FDCY,4278_O_EDWD
2024-09-16 05:30:00,1238.2666666666667,950.9333333333333,1774.9333333333334,2773.2,1396.6,2473.2,1098.0,,1654.8,1353.5333333333333,1484.0666666666666,,,1993.8666666666666
2024-09-16 05:45:00,1242.2666666666667,1009.0666666666667,1821.6,2709.8,1428.0,2076.8,1162.5333333333333,,1616.7333333333333,1366.8666666666666,1453.7333333333333,,,1786.2
2024-09-16 06:00:00,1286.4,1021.8,1809.0,2814.2,1425.8,2160.866666666667,1195.0,,1533.7333333333333,1423.4,1440.0666666666666,,,1601.0
2024-09-16 06:15:00,1355.6666666666667,1039.8666666666666,1859.4,2810.3333333333335,1435.9333333333334,2121.6666666666665,1256.3333333333333,,1542.0,1449.9333333333334,1462.0,,,1473.8
2024-09-16 06:30:00,1392.8,1118.0,1971.6,2786.733333333333,1456.8666666666666,1889.9333333333334,1421.8666666666666,,1471.8,1457.7333333333333,1452.2666666666667,,,1665.8666666666666
2024-09-16 06:45:00,1423.7333333333333,5503.6,1892.4666666666667,2806.5333333333333,1524.0,1781.0,1194.6666666666667,,1393.8666666666666,1524.5333333333333,1436.8,,,1546.6
2024-09-16 07:00:00,1484.0,995.4,1833.9333333333334,2743.2,1528.1333333333334,1731.8666666666666,1132.5333333333333,,1416.9333333333334,1612.3333333333333,1484.5333333333333,,,1684.0
2024-09-16 07:15:00,1523.4666666666667,1039.1333333333334,1927.0666666666666,2701.4,1580.5333333333333,1753.4666666666667,1060.6666666666667,,1581.2,1409.0,1479.7333333333333,,,1814.2666666666667
2024-09-16 07:30:00,1383.2666666666667,3347.2,2060.2,2679.733333333333,1656.1333333333334,1758.0666666666666,1017.4666666666667,,1647.9333333333334,1311.7333333333333,1506.6,,,1551.4666666666667
2024-09-16 07:45:00,1262.8666666666666,1817.8666666666666,1935.6666666666667,2774.5333333333333,1529.0666666666666,1757.0666666666666,908.9333333333333,,2390.6666666666665,1294.2666666666667,1473.7333333333333,,,1401.6666666666667
2024-09-16 08:00:00,1247.7333333333333,1397.4,1914.8666666666666,2528.866666666667,1402.3333333333333,1719.3333333333333,778.0666666666667,,2256.3333333333335,1146.8,1441.8,,,1445.8666666666666
2024-09-16 08:15:00,1249.3333333333333,7205.133333333333,1802.8,2350.866666666667,1237.8666666666666,1741.0666666666666,629.6,,1721.9333333333334,1222.8666666666666,1333.9333333333334,,,1474.6
2024-09-16 08:30:00,1222.6666666666667,4040.6666666666665,1802.0,2191.4666666666667,1193.7333333333333,1753.6,669.2,,1637.4,1134.4,990.8,,,1396.5333333333333
2024-09-16 08:45:00,1180.1333333333334,1177.3333333333333,1538.7333333333333,2082.8,1217.7333333333333,1815.5333333333333,659.6,,1424.7333333333333,1126.5333333333333,885.5333333333333,,,1295.3333333333333
2024-09-16 09:00:00,1099.8,1134.2,1337.6666666666667,1724.6,1231.9333333333334,1674.0666666666666,573.0,,1084.8,1191.3333333333333,720.8,,,1249.3333333333333
2024-09-16 09:15:00,1067.0666666666666,1002.7333333333333,1074.3333333333333,1440.0666666666666,1120.6666666666667,1512.6,513.8666666666667,,1026.5333333333333,1192.3333333333333,673.0,,,1294.2666666666667
2024-09-16 09:30:00,1027.8,926.6,1271.8,1252.6,1045.2,1439.6666666666667,478.1333333333333,,961.3333333333334,1124.3333333333333,599.7333333333333,,,1265.0
2024-09-16 09:45:00,985.4,879.1333333333333,1226.8,1182.1333333333334,1019.2666666666667,1369.1333333333334,426.8,,839.5333333333333,1061.2,697.0,,,1194.1333333333334
2024-09-16 10:00:00,909.1333333333333,866.6666666666666,1187.0,1132.4666666666667,962.7333333333333,1243.2666666666667,459.6,,737.9333333333333,1051.0,895.2,,,1172.0666666666666
2024-09-16 10:15:00,882.6666666666666,857.2,1055.3333333333333,795.7333333333333,769.7333333333333,1393.2,416.3333333333333,,678.2,951.5333333333333,844.7333333333333,,,1066.6666666666667
2024-09-16 10:30:00,897.9333333333333,903.0,973.2666666666667,697.0,771.4666666666667,1090.8666666666666,388.26666666666665,,626.2,908.4666666666667,868.1333333333333,,,1066.5333333333333
2024-09-16 10:45:00,808.0666666666667,895.2666666666667,864.4666666666667,687.0666666666667,735.8666666666667,1112.1333333333334,379.2,,589.5333333333333,918.4,781.7333333333333,,,1046.9333333333334
