Date/Time,1282_O_BCVW,1404_O_TROY,2071_O_NOSD,2281_O_HiPK,2319_O_DWNTN,3283_O_LEET,3555_O_SCLL,4431_O_WBG,4530_O_CNTP,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6582_O_OAKD,6809_O_SQHS,7134_O_LWCV,7543_O_MILL,8183_O_MILL,8304_O_SQHS,8698_O_NOSD,8699_O_BLOO,8850_O_LWCV,8941_O_MTLE
2017-09-12 17:00:00,88.73333333333332,,635.1333333333333,636.7333333333332,,415.2,567.8,541.3333333333334,,183.6,183.6,499.2,353.7333333333333,,436.66666666666674,499.66666666666674,413.66666666666674,483.73333333333335,555.8,496.66666666666674,496.2,531.4
2017-09-12 17:15:00,199.8,,594.2666666666668,596.3333333333334,,485.66666666666674,527.6666666666666,497.8,,202.86666666666667,202.86666666666667,452.0,354.53333333333336,,424.26666666666665,513.4,441.26666666666665,493.26666666666665,527.8666666666667,471.9333333333333,496.9333333333333,523.4
2017-09-12 17:30:00,137.6,,610.5333333333333,599.8666666666667,,446.13333333333327,501.66666666666674,488.2,,214.86666666666667,214.86666666666667,429.0,359.53333333333336,,461.33333333333326,527.4666666666667,490.73333333333335,499.26666666666665,557.1333333333333,463.8,546.2666666666668,502.26666666666665
2017-09-12 17:45:00,71.73333333333333,,693.3333333333335,604.2666666666668,,479.8,518.8666666666667,514.4,,236.33333333333331,236.33333333333331,444.6,363.73333333333335,,472.86666666666673,513.1333333333333,561.7333333333332,518.0,535.3333333333334,461.9333333333333,706.4666666666667,470.9333333333333
2017-09-12 18:00:00,11.866666666666667,,760.8,712.4,,495.2,520.4,508.53333333333336,,238.0,238.0,565.7333333333332,368.4666666666666,,502.13333333333327,529.6666666666666,565.3333333333334,514.8666666666667,505.6,453.86666666666673,617.6666666666666,451.9333333333333
2017-09-12 18:15:00,7.2,,693.0666666666667,614.8666666666667,,474.8,548.7333333333332,513.0666666666667,,220.06666666666663,220.06666666666663,540.8666666666667,374.4666666666666,,574.4666666666667,545.2,548.5333333333333,513.2,507.2,459.06666666666666,594.0,431.33333333333326
2017-09-12 18:30:00,7.2666666666666675,,847.4666666666667,644.8,,461.53333333333336,548.6,558.3333333333334,,232.26666666666668,232.26666666666668,482.4666666666666,377.4666666666666,,518.2,522.0,558.8,549.4,544.0,449.0,644.4666666666667,466.66666666666674
2017-09-12 18:45:00,34.06666666666667,,820.9333333333333,719.4,,441.53333333333336,578.6666666666666,555.8666666666667,,258.06666666666666,258.06666666666666,494.6,406.66666666666674,,499.33333333333326,539.4,493.06666666666666,548.8666666666667,573.6,489.06666666666666,667.8666666666667,470.8
2017-09-12 19:00:00,25.93333333333333,,780.0,742.1333333333333,,456.2,636.6,614.7333333333332,,252.66666666666663,252.66666666666663,534.0,427.86666666666673,,504.86666666666673,739.0666666666667,505.33333333333326,601.8666666666667,529.4666666666667,519.8666666666667,656.4,454.06666666666666
2017-09-12 19:15:00,73.6,,816.1333333333333,717.2,,468.4,610.6666666666666,557.4666666666667,,253.06666666666663,253.06666666666663,552.4666666666667,490.33333333333326,,507.66666666666674,737.8666666666667,509.6,636.5333333333333,526.4666666666667,540.1333333333333,661.7333333333332,452.13333333333327
