Date/Time,8304_O_SQHS,7134_O_LWCV,8699_O_BLOO,8183_O_MILL,4530_O_CNTP,6809_O_SQHS,1404_O_TROY,7543_O_MILL,4431_O_WBG,3555_O_SCLL,5571_O_BUFF,8941_O_MTLE,5624_O_BUFF,8850_O_LWCV,3283_O_LEET,1282_O_BCVW,2071_O_NOSD,2319_O_DWNTN,8698_O_NOSD,6582_O_OAKD,2281_O_HiPK
2017-09-06 16:30:00,28.4,45.93333333333333,31.933333333333334,,,35.6,32.8,27.933333333333334,46.2,,20.0,,20.0,31.4,22.8,,25.066666666666666,,20.066666666666666,,29.933333333333334
2017-09-06 16:45:00,25.733333333333334,33.06666666666667,30.466666666666665,,,30.066666666666666,33.4,28.666666666666668,56.86666666666667,,19.333333333333332,,19.333333333333332,32.4,22.0,,25.933333333333334,,15.866666666666667,,24.866666666666667
2017-09-06 17:00:00,23.8,44.2,27.733333333333334,,,27.0,20.6,24.933333333333334,54.93333333333333,,21.666666666666668,,21.666666666666668,34.46666666666667,22.933333333333334,,28.2,,15.133333333333333,,23.4
2017-09-06 17:15:00,27.933333333333334,31.333333333333332,27.666666666666668,,,27.0,45.86666666666667,23.666666666666668,53.666666666666664,,20.4,,20.4,33.0,29.4,,30.733333333333334,,16.6,,24.8
2017-09-06 17:30:00,24.733333333333334,29.733333333333334,35.0,,,26.866666666666667,24.4,28.466666666666665,42.93333333333333,,21.866666666666667,,21.866666666666667,33.53333333333333,28.066666666666666,,31.866666666666667,,17.4,,20.466666666666665
2017-09-06 17:45:00,27.666666666666668,35.46666666666667,31.066666666666666,,,25.2,22.8,28.866666666666667,37.266666666666666,,32.06666666666667,,32.06666666666667,35.666666666666664,32.93333333333333,,31.333333333333332,,21.2,,21.133333333333333
2017-09-06 18:00:00,30.733333333333334,28.066666666666666,32.93333333333333,,,23.666666666666668,59.53333333333333,37.4,42.6,,32.06666666666667,,32.06666666666667,47.8,31.8,,33.86666666666667,,23.333333333333332,,21.6
2017-09-06 18:15:00,32.333333333333336,28.666666666666668,49.06666666666667,,,26.266666666666666,42.06666666666667,62.93333333333333,43.2,,30.466666666666665,,30.466666666666665,61.333333333333336,29.333333333333332,,33.06666666666667,,26.533333333333335,,24.0
2017-09-06 18:30:00,34.4,29.8,42.6,,,29.933333333333334,39.666666666666664,63.8,46.8,,29.8,,29.8,51.266666666666666,35.46666666666667,,38.2,,27.0,,26.333333333333332
2017-09-06 18:45:00,38.733333333333334,35.93333333333333,58.266666666666666,,,36.266666666666666,38.4,82.93333333333334,45.2,,33.266666666666666,,33.266666666666666,36.4,34.53333333333333,,36.666666666666664,,29.466666666666665,,27.8
2017-09-06 19:00:00,35.666666666666664,50.2,38.86666666666667,,,30.733333333333334,38.86666666666667,124.13333333333334,43.46666666666667,,34.666666666666664,,34.666666666666664,22.933333333333334,47.06666666666667,,32.86666666666667,,30.133333333333333,,29.866666666666667
2017-09-06 19:15:00,34.0,73.6,35.93333333333333,,,37.13333333333333,39.6,75.2,56.06666666666667,,37.46666666666667,,37.46666666666667,21.2,48.0,,40.13333333333333,,32.06666666666667,,35.13333333333333
2017-09-06 19:30:00,34.266666666666666,52.666666666666664,37.0,,,36.666666666666664,30.6,78.86666666666666,57.06666666666667,,47.2,73.54545454545455,47.2,20.8,44.93333333333333,,45.13333333333333,,32.13333333333333,,34.666666666666664
2017-09-06 19:45:00,32.8,47.93333333333333,38.266666666666666,,,37.733333333333334,28.133333333333333,76.86666666666666,90.93333333333334,,48.4,42.666666666666664,48.4,23.6,65.0,,43.0,,33.4,,34.0
2017-09-06 20:00:00,35.6,65.0,39.86666666666667,,,37.266666666666666,32.666666666666664,46.8,118.6,,40.2,32.06666666666667,40.2,26.266666666666666,73.0,,48.666666666666664,,35.2,,33.53333333333333
2017-09-06 20:15:00,34.333333333333336,37.13333333333333,36.8,,,39.93333333333333,30.2,64.93333333333334,104.06666666666666,,37.13333333333333,38.06666666666667,37.13333333333333,33.266666666666666,55.333333333333336,,46.2,,39.733333333333334,,32.6
2017-09-06 20:30:00,35.53333333333333,38.333333333333336,36.0,,,37.8,49.86666666666667,60.06666666666667,83.73333333333333,,37.6,39.46666666666667,37.6,35.53333333333333,47.46666666666667,,41.46666666666667,,40.13333333333333,,35.86666666666667
2017-09-06 20:45:00,39.46666666666667,44.13333333333333,40.53333333333333,,,37.666666666666664,48.93333333333333,57.666666666666664,77.8,,35.4,30.333333333333332,35.4,28.533333333333335,63.46666666666667,,25.466666666666665,,43.8,,52.0
2017-09-06 21:00:00,37.666666666666664,50.93333333333333,57.0,,,38.86666666666667,40.53333333333333,84.8,128.13333333333333,,34.4,24.066666666666666,34.4,21.466666666666665,95.86666666666666,,35.93333333333333,,42.13333333333333,,35.4
2017-09-06 21:15:00,39.06666666666667,76.66666666666667,52.666666666666664,,,45.4,41.86666666666667,69.4,79.0,,35.93333333333333,21.266666666666666,35.93333333333333,27.2,65.4,37.2,43.2,,43.8,,40.8
2017-09-06 21:30:00,36.06666666666667,66.73333333333333,51.666666666666664,,,41.86666666666667,31.2,50.6,74.06666666666666,,34.733333333333334,20.6,34.733333333333334,26.133333333333333,30.266666666666666,28.666666666666668,28.4,,29.8,,37.53333333333333
2017-09-06 21:45:00,33.53333333333333,50.266666666666666,35.666666666666664,,,33.53333333333333,24.0,33.733333333333334,68.2,,33.333333333333336,22.466666666666665,33.333333333333336,33.6,27.133333333333333,21.333333333333332,35.333333333333336,,48.2,,26.6
2017-09-06 22:00:00,28.066666666666666,47.666666666666664,26.2,,,26.333333333333332,27.866666666666667,23.733333333333334,84.93333333333334,,33.333333333333336,26.066666666666666,33.333333333333336,33.8,31.066666666666666,18.733333333333334,45.6,,37.733333333333334,,21.066666666666666
