Date/Time,1502_O_BLPK,1561_O_SWPK,2071_O_NOSD,3555_O_SCLL,4388_O_BLPK,4431_O_WBG,4530_O_CNTP,4669_O_ELIB,5179_O_SHRP,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6218_O_WSTD,6582_O_OAKD,7543_O_MILL,7970_O_MILL,7999_O_SWVL,8941_O_MTLE
2018-01-17 13:30:00,,6606.333333333332,6136.6,,744.4666666666667,5687.733333333334,3249.133333333333,6826.6,5474.2,,3883.2,5231.6,3410.0,7476.266666666666,7977.9333333333325,3314.4,6050.133333333332,6994.533333333334
2018-01-17 13:45:00,,6768.2,5809.0,,680.9333333333333,5479.4,2905.066666666666,5709.8,5542.333333333332,,3672.4666666666662,4374.8,3572.0,7478.4,8120.666666666668,3538.0,5890.866666666668,7269.733333333334
2018-01-17 14:00:00,,6324.2,5433.533333333334,,689.9333333333333,5291.733333333334,2880.8,5313.066666666667,5620.733333333334,,3266.733333333333,4289.266666666666,3472.866666666667,7369.0,7993.266666666666,3242.4666666666667,6307.2,7173.866666666668
2018-01-17 14:15:00,,5369.333333333333,5195.0,,662.6666666666666,5081.933333333333,2989.066666666666,4286.733333333334,5256.2,,3377.8,3883.2,3297.666666666666,7242.666666666668,7703.2,2803.866666666667,5880.9333333333325,7895.8
2018-01-17 14:30:00,,4408.4,4821.866666666667,,617.8666666666667,5180.8,2390.133333333333,4177.133333333333,4625.666666666667,,3512.2,4162.266666666666,3155.8,7120.133333333332,7185.466666666666,2499.4,4686.533333333334,7590.133333333332
2018-01-17 14:45:00,,4145.733333333334,4087.8,,428.06666666666666,5214.333333333333,2737.0,3951.866666666667,3755.066666666666,,3507.5333333333333,4957.2,3070.8,6982.9333333333325,7874.533333333334,2046.2,5229.733333333334,6476.2
2018-01-17 15:00:00,,4073.866666666667,3910.4,,435.26666666666665,5071.933333333333,2795.066666666666,3962.066666666666,3240.666666666666,,3701.4666666666662,4999.8,2927.133333333333,6861.733333333334,8262.266666666666,2164.0,4482.933333333333,5197.2
2018-01-17 15:15:00,,3617.2,3905.4666666666662,,484.86666666666673,5295.133333333333,2971.5333333333333,3981.2,3391.666666666666,,4627.8,4907.533333333334,3119.8,6788.8,15855.933333333332,2238.5333333333333,4116.133333333333,5092.733333333334
2018-01-17 15:30:00,,3583.066666666666,4067.066666666666,,429.4666666666666,5498.466666666666,3021.066666666666,4015.5333333333333,3163.333333333333,,5845.533333333334,4425.6,3140.066666666666,6785.466666666666,6773.466666666666,2967.2,4236.666666666667,5855.733333333334
2018-01-17 15:45:00,,3740.066666666666,4513.866666666667,,395.6,5857.8,3246.933333333333,4093.133333333333,3288.133333333333,,6141.466666666666,4424.533333333334,2979.933333333333,6768.0,6566.6,3379.133333333333,3613.4666666666662,5064.866666666667
