Date/Time,6189_O_LARM,2071_O_NOSD,5624_O_BUFF,5571_O_BUFF,6227_O_ELIB,8185_O_SWPK,7568_O_GIBS,7220_O_SHADY,2427_O_ELIB,2281_O_HiPK,4841_O_STDT
2016-09-10 09:30:00,,67.8,48.266666666666666,48.266666666666666,65.33333333333333,69.53333333333333,,,66.93333333333334,,
2016-09-10 09:45:00,,63.86666666666667,46.06666666666667,46.06666666666667,64.8,65.66666666666667,,,58.06666666666667,,
2016-09-10 10:00:00,,61.46666666666667,45.53333333333333,45.53333333333333,61.733333333333334,64.13333333333334,,,54.6,,
2016-09-10 10:15:00,,57.333333333333336,42.13333333333333,42.13333333333333,58.46666666666667,57.86666666666667,,,53.666666666666664,,
2016-09-10 10:30:00,,56.8,42.06666666666667,42.06666666666667,55.06666666666667,52.6,,,57.53333333333333,,
2016-09-10 10:45:00,,55.333333333333336,41.666666666666664,41.666666666666664,50.333333333333336,54.8,,,50.6,,
2016-09-10 11:00:00,,50.13333333333333,44.666666666666664,44.666666666666664,49.0,54.53333333333333,,,50.4,,
2016-09-10 11:15:00,,50.93333333333333,46.266666666666666,46.266666666666666,42.6,48.06666666666667,,,44.06666666666667,,
2016-09-10 11:30:00,,47.8,41.6,41.6,41.86666666666667,46.666666666666664,,,45.0,,
2016-09-10 11:45:00,,43.93333333333333,38.93333333333333,38.93333333333333,40.4,50.333333333333336,,,39.6,,
2016-09-10 12:00:00,,42.4,36.666666666666664,36.666666666666664,38.8,45.46666666666667,,,40.733333333333334,,
2016-09-10 12:15:00,,39.0,36.6,36.6,36.93333333333333,46.86666666666667,,,39.733333333333334,,
2016-09-10 12:30:00,,39.06666666666667,32.53333333333333,32.53333333333333,34.8,45.4,,,38.86666666666667,,
2016-09-10 12:45:00,,36.8,31.4,31.4,36.2,43.733333333333334,,,41.733333333333334,,
2016-09-10 13:00:00,,39.53333333333333,33.666666666666664,33.666666666666664,35.8,43.06666666666667,,,38.86666666666667,,
2016-09-10 13:15:00,,38.46666666666667,29.2,29.2,33.266666666666666,39.266666666666666,,,36.93333333333333,,
2016-09-10 13:30:00,,37.8,29.4,29.4,36.0,40.4,,,38.13333333333333,,
2016-09-10 13:45:00,,36.733333333333334,28.4,28.4,33.2,39.266666666666666,,,38.4,,
2016-09-10 14:00:00,,33.53333333333333,26.733333333333334,26.733333333333334,30.733333333333334,39.53333333333333,,,37.93333333333333,,
2016-09-10 14:15:00,,33.666666666666664,29.333333333333332,29.333333333333332,29.2,38.86666666666667,,,34.266666666666666,,
2016-09-10 14:30:00,,36.266666666666666,28.333333333333332,28.333333333333332,29.8,41.8,,,34.86666666666667,,
2016-09-10 14:45:00,,32.266666666666666,32.86666666666667,32.86666666666667,29.6,45.46666666666667,,,36.4,,
2016-09-10 15:00:00,,33.2,35.6,35.6,30.533333333333335,42.2,,,35.06666666666667,,
2016-09-10 15:15:00,,30.933333333333334,36.93333333333333,36.93333333333333,27.8,40.86666666666667,,,36.333333333333336,,
2016-09-10 15:30:00,,31.066666666666666,36.733333333333334,36.733333333333334,28.466666666666665,40.8,,,35.4,,
2016-09-10 15:45:00,,30.333333333333332,35.46666666666667,35.46666666666667,28.666666666666668,41.86666666666667,,,35.06666666666667,,
2016-09-10 16:00:00,,31.533333333333335,36.06666666666667,36.06666666666667,29.133333333333333,46.93333333333333,,,36.8,,
2016-09-10 16:15:00,,34.733333333333334,35.2,35.2,30.733333333333334,45.93333333333333,,,36.53333333333333,,
2016-09-10 16:30:00,,33.666666666666664,38.0,38.0,29.666666666666668,42.8,,,39.0,,
2016-09-10 16:45:00,,33.2,31.066666666666666,31.066666666666666,29.866666666666667,47.46666666666667,,,34.86666666666667,,
2016-09-10 17:00:00,,32.266666666666666,35.46666666666667,35.46666666666667,29.466666666666665,52.666666666666664,,,38.6,,
2016-09-10 17:15:00,,31.466666666666665,35.266666666666666,35.266666666666666,29.2,58.86666666666667,,,34.266666666666666,,
2016-09-10 17:30:00,,31.866666666666667,37.333333333333336,37.333333333333336,30.333333333333332,66.33333333333333,,,34.266666666666666,,
2016-09-10 17:45:00,,31.2,37.13333333333333,37.13333333333333,28.666666666666668,56.46666666666667,,,36.6,,
2016-09-10 18:00:00,,32.46666666666667,38.46666666666667,38.46666666666667,31.533333333333335,72.06666666666666,,,40.93333333333333,,
2016-09-10 18:15:00,,36.13333333333333,39.333333333333336,39.333333333333336,30.8,82.2,,,39.86666666666667,,
2016-09-10 18:30:00,,34.46666666666667,42.93333333333333,42.93333333333333,30.333333333333332,73.13333333333334,,,42.333333333333336,,
2016-09-10 18:45:00,,33.53333333333333,38.86666666666667,38.86666666666667,31.933333333333334,59.2,,,41.666666666666664,,
2016-09-10 19:00:00,,36.46666666666667,39.733333333333334,39.733333333333334,34.46666666666667,67.66666666666667,,,42.733333333333334,,
2016-09-10 19:15:00,,36.4,38.13333333333333,38.13333333333333,33.13333333333333,68.86666666666666,,34.46153846153846,46.2,,
