Date/Time,4164_O_ROSS,6035_O_WLKG,5464_O_SQHL,4450_O_CRFT,4430_O_WASH,5999_O_DORM,8157_O_NVLL,5514_O_MNMP,7233_O_MEBA,1254_O_MTLE
2025-04-19 05:00:00,1006.9333333333333,,,1117.9333333333334,1726.9333333333334,,884.4,226.4,2303.866666666667,907.5333333333333
2025-04-19 05:15:00,1055.6666666666667,,,1166.4666666666667,1760.3333333333333,,920.2,237.4,2437.9333333333334,922.4
2025-04-19 05:30:00,1046.3333333333333,,,1203.5333333333333,1801.2,,945.0666666666667,253.06666666666666,2530.4666666666667,933.2
2025-04-19 05:45:00,1072.2666666666667,,,1210.8,1839.4666666666667,,923.7333333333333,272.4,2630.266666666667,931.4666666666667
2025-04-19 06:00:00,1135.6,,,1290.8666666666666,1869.6,,924.6,282.6666666666667,2716.0,958.5333333333333
2025-04-19 06:15:00,1176.3333333333333,,,1246.0,1958.6,,923.5333333333333,304.1333333333333,2800.6666666666665,961.8
2025-04-19 06:30:00,1178.8666666666666,,,1277.0,1876.2,,933.5333333333333,301.0,2874.2,993.2
2025-04-19 06:45:00,1192.0666666666666,,,1307.6666666666667,1843.0,,951.3333333333334,319.8666666666667,2857.0,1027.4
2025-04-19 07:00:00,1237.3333333333333,,,1322.0666666666666,1830.7333333333333,,980.6666666666666,333.46666666666664,2938.2,1041.3333333333333
2025-04-19 07:15:00,1259.2,,,1316.2666666666667,1824.2,,986.6,328.8666666666667,3045.5333333333333,1083.2
2025-04-19 07:30:00,1269.2666666666667,,,1331.2666666666667,1777.6666666666667,,968.8,335.0,3057.2,1067.8666666666666
2025-04-19 07:45:00,1261.6666666666667,,,1324.7333333333333,1764.8,,961.8,309.8666666666667,3069.0666666666666,1046.9333333333334
2025-04-19 08:00:00,1281.5333333333333,,,1277.7333333333333,1735.3333333333333,,954.4666666666667,280.46666666666664,3090.0666666666666,1058.6
2025-04-19 08:15:00,1240.5333333333333,,,1256.6,1729.0,,939.0,272.6,3015.133333333333,1045.4
2025-04-19 08:30:00,1211.2,,,1246.6666666666667,1719.3333333333333,,904.0,254.86666666666667,2910.8,1039.6666666666667
2025-04-19 08:45:00,1149.3333333333333,,,1149.0666666666666,1710.7333333333333,,871.1333333333333,237.2,5406.2,1046.1333333333334
