Date/Time,2071_O_NOSD,2229_O_BAHT,2281_O_HiPK,2898_O_AVLN,4431_O_WBG,4576_O_EMSW,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,5708_O_XXXX,5952_O_EDWD,6140_O_FRHL,6196_O_MWSH,6496_O_MTLE,6809_O_SQHS,7543_O_MILL,8183_O_MILL,8941_O_MTLE
2017-06-14 20:30:00,,,,794.4,2356.333333333333,1152.4666666666667,1052.8666666666666,1052.8666666666666,1115.0666666666666,,1722.0,1040.5333333333333,2202.266666666667,,2094.933333333333,2698.8,1853.533333333333,887.0666666666667
2017-06-14 20:45:00,,,,738.8,2180.133333333333,1072.0,1137.6,1137.6,1206.1333333333334,,1902.0666666666666,1136.9333333333334,1807.6,,2062.333333333333,3166.266666666667,1848.9333333333332,912.5333333333333
2017-06-14 21:00:00,,,,825.0,2310.0,1233.6,1236.7333333333333,1236.7333333333333,1289.6666666666667,,2070.133333333333,1156.8666666666666,2441.6666666666665,,2124.4,3330.666666666666,1974.7333333333331,1182.6
2017-06-14 21:15:00,,,,884.1333333333333,2405.0,1228.3333333333333,1264.8,1264.8,1306.7333333333333,,2151.6,1310.8,2589.2,,2400.8,2941.4,2101.133333333333,1231.8666666666666
2017-06-14 21:30:00,,,,951.1333333333333,2362.0,1203.1333333333334,1388.666666666667,1388.666666666667,1362.3333333333333,,2263.6,1517.333333333333,2557.0666666666666,,3452.866666666667,3916.266666666667,2080.733333333333,1240.4
2017-06-14 21:45:00,,,,896.5333333333333,1870.1333333333332,1321.0666666666666,,,1402.2666666666669,,2403.2,1403.333333333333,2410.266666666667,,3719.6,4541.666666666667,2254.4,1292.4666666666667
2017-06-14 22:00:00,,,,867.0666666666667,1763.8666666666666,1411.9333333333334,,,1488.533333333333,,2160.6,1184.6666666666667,1940.333333333333,,4130.0,3639.133333333333,2391.5333333333333,1355.1333333333334
2017-06-14 22:15:00,,,,898.4666666666667,1899.333333333333,1439.8666666666666,,,1734.0,,3567.266666666667,1237.4666666666667,1679.333333333333,,3428.0,4310.8,2424.5333333333333,1357.2
2017-06-14 22:30:00,,,,909.5333333333333,2680.6666666666665,1533.6,,,1820.0,,4334.8,1296.6,1636.8,,3373.8,4663.866666666667,2571.4666666666667,5943.0
2017-06-14 22:45:00,,,,943.9333333333333,2415.5333333333333,1886.0666666666666,,,2348.4,,2907.266666666667,1395.0,1898.2,,3508.733333333333,4991.933333333333,2598.6666666666665,6514.6
2017-06-14 23:00:00,,,,970.0666666666667,2357.866666666667,2057.6,,,2621.5333333333333,,2506.6666666666665,1437.9333333333334,1968.533333333333,,3715.733333333333,5191.133333333333,2767.0,1959.1333333333332
2017-06-14 23:15:00,,,,1158.0666666666666,2063.6,1892.533333333333,,,2900.333333333333,,3061.2,1486.533333333333,1981.6,,3994.6,5323.333333333333,3461.733333333333,1472.0666666666666
2017-06-14 23:30:00,,,,1159.0666666666666,2012.466666666667,1687.0666666666666,,,2662.6666666666665,,3680.8,1488.666666666667,2253.5333333333333,,4131.066666666667,5316.533333333334,3468.266666666667,1195.9333333333334
2017-06-14 23:45:00,,,,1006.1333333333333,2098.4666666666667,1684.8666666666666,,,2822.333333333333,,3414.5333333333333,1566.666666666667,2409.5333333333333,,4050.4666666666662,5137.733333333334,3321.066666666666,759.5333333333333
2017-06-15 00:00:00,,,,775.1333333333333,2426.866666666667,1557.2666666666669,,,2653.133333333333,,3812.866666666667,1539.9333333333334,2142.0666666666666,,3731.5333333333333,4998.266666666666,3473.733333333333,749.4666666666667
2017-06-15 00:15:00,,,,828.2666666666668,2624.933333333333,1510.2,,,2879.933333333333,,4418.8,1934.8666666666666,1979.9333333333332,,4162.266666666666,4689.733333333334,3570.933333333333,463.4
2017-06-15 00:30:00,,,,986.2666666666668,2066.2,1334.6,,,2878.933333333333,,4502.2,2646.2,1927.7333333333331,,4672.0,4622.733333333334,3410.733333333333,590.1333333333333
2017-06-15 00:45:00,,,,1584.7333333333331,2605.266666666667,1553.9333333333334,,,2414.8,,4516.0,2337.6,1898.6,,4757.733333333334,4545.933333333333,3282.8,414.53333333333336
2017-06-15 01:00:00,,,,1790.0666666666666,2336.733333333333,1436.2,,,2017.666666666667,,4406.066666666667,2849.666666666666,2252.6666666666665,,5075.466666666666,4433.866666666667,3266.4666666666667,394.4
