Date/Time,1295_O_BCVW,3422_O_HICK,4431_O_WBG,4972_O_MTLE,5571_O_BUFF,5624_O_BUFF,8185_O_SWPK
2016-03-18 20:15:00,574.9333333333333,1031.6,525.3333333333334,2142.933333333333,2134.0666666666666,2134.0666666666666,496.6
2016-03-18 20:30:00,619.0666666666667,1012.8,539.0666666666667,2174.733333333333,2095.866666666667,2095.866666666667,539.4666666666667
2016-03-18 20:45:00,938.1333333333333,940.8,550.5333333333333,2330.4666666666667,2102.5333333333333,2102.5333333333333,572.3333333333334
2016-03-18 21:00:00,713.1333333333333,925.5333333333333,609.4666666666667,2413.8,1905.466666666667,1905.466666666667,603.7333333333332
2016-03-18 21:15:00,753.6666666666665,875.0,727.1333333333333,2365.6666666666665,1819.7333333333331,1819.7333333333331,592.9333333333333
2016-03-18 21:30:00,788.8666666666667,922.2666666666668,778.8,2322.4666666666667,1717.466666666667,1717.466666666667,600.4
2016-03-18 21:45:00,705.4,1095.5333333333333,781.8666666666667,2954.4,1536.0666666666666,1536.0666666666666,621.6
2016-03-18 22:00:00,743.9333333333333,1398.2,707.1333333333333,5522.8,1443.466666666667,1443.466666666667,662.6
2016-03-18 22:15:00,836.9333333333333,1258.4666666666667,738.3333333333335,5677.4,1352.8666666666666,1352.8666666666666,679.8
2016-03-18 22:30:00,851.8,1237.2666666666667,907.4,5035.4,1305.0666666666666,1305.0666666666666,708.8
2016-03-18 22:45:00,857.4666666666667,1219.8,1030.8666666666666,5137.4,1285.8666666666666,1285.8666666666666,727.8666666666667
2016-03-18 23:00:00,867.2666666666668,1203.8,913.4666666666667,5845.533333333334,1314.2,1314.2,779.4
2016-03-18 23:15:00,855.7333333333332,1181.0,880.2666666666668,9254.066666666668,1389.2666666666669,1389.2666666666669,769.0666666666667
2016-03-18 23:30:00,864.6,1277.2666666666667,923.0666666666667,5832.9333333333325,1578.2,1578.2,792.8666666666667
2016-03-18 23:45:00,941.4,1335.2666666666667,899.4666666666667,7771.866666666668,1538.0666666666666,1538.0666666666666,775.3333333333335
2016-03-19 00:00:00,919.8,1223.0,2187.266666666667,4671.266666666666,1544.0,1544.0,847.8
2016-03-19 00:15:00,934.5333333333333,1200.0666666666666,2321.0,4982.666666666667,1578.8,1578.8,955.0666666666667
2016-03-19 00:30:00,1169.2666666666667,1096.6666666666667,2845.0,4313.0,1613.4,1613.4,915.5333333333333
