Date/Time,2164_O_DMBR,7924_O_LWCV,5809_O_SHGT,6651_O_SHGT,6780_O_FXCP,2130_O_MTOV,2759_O_BRHT,8888_O_MRSD,5624_O_BUFF,2400_O_STGC,7578_O_BVFL,3746_O_DOWN,8941_O_MTLE,5571_O_BUFF,4431_O_WBG,5470_O_SQHS,4667_O_PHLL,2554_O_STCG,4363_O_XXXX,4530_O_CNTP,4463_O_XXXX,8457_O_XXXX
2019-01-20 19:00:00,604.8666666666667,,701.9333333333333,,661.4666666666667,,,822.8666666666667,644.0,821.6,814.2666666666667,522.4666666666667,670.7333333333333,644.0,600.6666666666666,937.9333333333333,439.06666666666666,644.7333333333333,909.6,,,
2019-01-20 19:15:00,590.4,,756.4,,685.4666666666667,,,737.8666666666667,787.4666666666667,923.2666666666667,777.0666666666667,563.8666666666667,689.0666666666667,787.4666666666667,640.5333333333333,1386.4666666666667,434.2,759.4,908.6,,,
2019-01-20 19:30:00,532.4,,783.6,,960.6666666666666,,,774.0666666666667,980.6666666666666,959.2,770.6,602.1333333333333,1290.3333333333333,980.6666666666666,639.1333333333333,1667.7333333333333,476.53333333333336,798.8666666666667,1069.7333333333333,,,
2019-01-20 19:45:00,665.4,,928.3333333333334,,1183.0,,,699.6,846.8,762.8,901.6666666666666,643.6666666666666,943.2,846.8,641.8,1634.4666666666667,515.1333333333333,783.2666666666667,983.0666666666667,,,
2019-01-20 20:00:00,670.8,,948.4666666666667,,1113.2,,,820.6,875.4,727.0666666666667,1175.6666666666667,631.6,662.8,875.4,725.2666666666667,1627.1333333333334,515.6,617.5333333333333,967.0,,,
2019-01-20 20:15:00,639.4,,762.7333333333333,,1149.5333333333333,,,710.8,935.8,817.9333333333333,1136.4666666666667,603.7333333333333,598.1333333333333,935.8,900.7333333333333,1158.0666666666666,579.2,708.0,770.8666666666667,,,
2019-01-20 20:30:00,615.6666666666666,,814.4,,984.8,,,1173.6,1132.0,901.3333333333334,1729.0,579.7333333333333,578.4666666666667,1132.0,1208.8,1279.5333333333333,541.8,647.8666666666667,818.6,,,
2019-01-20 20:45:00,670.4,,849.1333333333333,,743.2666666666667,,,848.2,1167.8666666666666,1032.1333333333334,3041.733333333333,632.7333333333333,577.2666666666667,1167.8666666666666,1338.1333333333334,1528.7333333333333,579.2,713.5333333333333,1213.0,,,
2019-01-20 21:00:00,681.5333333333333,,842.0666666666667,,1045.3333333333333,,,1233.6,1038.2,966.8666666666667,1348.0666666666666,715.1333333333333,600.0,1038.2,1444.6,1259.7333333333333,610.2,841.6,961.9333333333333,,,
2019-01-20 21:15:00,720.6,,779.5333333333333,,942.6666666666666,,,2123.266666666667,1004.9333333333333,1068.1333333333334,3128.6,732.3333333333334,720.0,1004.9333333333333,1170.2,1083.6,641.9333333333333,858.3333333333334,800.8666666666667,,,
