Date/Time,5907_O_EDWD,4634_O_NOSD,1272_O_SQHL,7984_O_PLHL,5093_O_MCCA,2467_O_BAVN,1124_O_PLUM,4924_O_WOAK,2748_O_ALPK,5166_O_AMBR,7896_O_PTBZ,4431_O_WBG,7872_O_SPHL
2026-03-13 5:45:00,455.3280667,194.9388,288.4058333,46.33333333,545.7344667,291.9373333,86.66666667,81,64.93333333,122.2666667,95.06666667,,210.9482667
2026-03-13 6:00:00,558.9187333,197.5285667,292.8790667,42.2,508.7714333,289.583,76.33333333,74.33333333,64.73333333,118.8666667,102.4,,218.0112667
2026-03-13 6:15:00,557.0352667,198.9411667,250.7365,42.46666667,507.5942667,267.4522667,70.8,81.26666667,64.06666667,129.8666667,106.2666667,,212.1254333
2026-03-13 6:30:00,460.7430333,193.5262,260.1538333,41.4,521.0139667,288.4058333,69.73333333,148,70.53333333,117.8666667,89.6,,184.5797333
2026-03-13 6:45:00,468.2769,195.6451,305.3570333,40.33333333,563.1565333,345.3807,67.66666667,108.8666667,69.93333333,136.0666667,92.16666667,,183.638
2026-03-13 7:00:00,402.8264333,192.5844667,303.709,36.66666667,526.1935,329.1358,68,91.4,71.2,105,,,183.638
2026-03-13 7:15:00,376.4579,163.1553,300.4129333,32.93333333,504.2982,320.8956333,74.66666667,126.8666667,74.4,95.33333333,,,206.2396
2026-03-13 7:30:00,360.213,151.8545,272.6318,34.86666667,509.0068667,316.6578333,64.06666667,103.1333333,73.6,66.53333333,,,199.8829
2026-03-13 7:45:00,327.2523333,151.8545,259.6829667,39,498.1769333,285.3452,57.4,83.33333333,64.06666667,86.4,,,185.0506
2026-03-13 8:00:00,369.8657667,153.7379667,317.5995667,31.93333333,462.6265,256.8577667,56.6,75.46666667,57.4,92.53333333,,,171.8663333
2026-03-13 8:15:00,321.6019333,154.4442667,348.6767667,35.53333333,462.1556333,288.4058333,58.86666667,70.66666667,58.53333333,91.46666667,,,159.3883667
2026-03-13 8:30:00,219.1884333,158.2112,357.6232333,34.46666667,455.5635,265.5688,58.26666667,82,55.13333333,94.66666667,,,159.3883667
2026-03-13 8:45:00,230.0183667,164.0970333,257.7995,34.8,450.8548333,237.3168,55.86666667,67.06666667,56.86666667,95.6,,,182.2254
2026-03-13 9:00:00,245.3215333,166.2159333,236.8459333,33,366.5697,216.1278,55.8,73.66666667,56.13333333,61.8,,,190.701
2026-03-13 9:15:00,314.7743667,159.1529333,234.7270333,34.6,345.3807,203.8852667,64.46666667,65.93333333,55.86666667,100.2,,,184.8151667
2026-03-13 9:30:00,273.3381,155.8568667,264.6270667,33.8,304.4153,189.0529667,55.73333333,71,56.13333333,62.8,,,168.3348333
2026-03-13 9:45:00,247.6758667,141.4954333,371.2783667,31.46666667,280.8719667,230.4892333,55.06666667,62.73333333,65.2,52.33333333,,,151.8545
2026-03-13 10:00:00,262.9790333,138.6702333,262.0373,32.86666667,240.142,179.4002,51.73333333,116.4666667,57.33333333,66.8,,,151.3836333
2026-03-13 10:15:00,260.3892667,140.3182667,250.9719333,32.33333333,226.7223,209.3002333,45.26666667,74.86666667,51.86666667,54.06666667,,,152.5608
2026-03-13 10:30:00,200.1183333,149.0293,436.9642667,32.66666667,213.7734667,172.3372,39.06666667,71.6,49.6,106.8666667,,,250.2656333
2026-03-13 10:45:00,222.9553667,149.0293,444.4981333,27.26666667,209.0648,210.2419667,32.33333333,88.53333333,47.86666667,86.93333333,,,341.1429
2026-03-13 11:00:00,162.9198667,153.5025333,261.8018667,22.2,233.3144333,178.6939,31.6,82.6,49.93333333,87.93333333,,,272.3963667
2026-03-13 11:15:00,169.512,132.5489667,188.8175333,22.26666667,242.0254667,219.6593,30.26666667,84.53333333,48.86666667,77.86666667,,,166.9222333
2026-03-13 11:30:00,151.8545,159.6238,167.8639667,24.86666667,213.5380333,408.2414,31,65.86666667,48.86666667,95.33333333,,,233.079
2026-03-13 11:45:00,143.3789,138.9056667,207.6522,24.93333333,189.2884,233.079,30.6,55.4,58.2,199.4,,,168.8057
2026-03-13 12:00:00,131.6072333,125.9568333,156.5631667,23.4,161.7427,218.953,54.46666667,55.73333333,54.93333333,303.6,,,134.4324333
2026-03-13 12:15:00,111.5954,111.8308333,183.8734333,24.4,160.5655333,259.2121,34.8,59.73333333,36.06666667,304.5333333,,,116.7749333
2026-03-13 12:30:00,107.8284667,106.1804333,218.0112667,25.4,153.9734,197.9994333,30.66666667,67.26666667,36.26666667,260.1333333,,,122.8962
2026-03-13 12:45:00,123.6025,107.5930333,187.8758,30.73333333,157.0340333,208.1230667,31.06666667,62.06666667,37.6,135.6,,,115.3623333
2026-03-13 13:00:00,131.6072333,132.0781,192.1136,29.26666667,165.5096333,175.8687,34.2,62.6,37.26666667,84.4,,,125.4859667
2026-03-13 13:15:00,150.6773333,136.0804667,201.0600667,33.66666667,176.3395667,478.1651,32.2,65.86666667,38.86666667,187.8,,,144.0852
2026-03-13 13:30:00,145.9686667,169.2765667,273.8089667,34.93333333,190.4655667,177.5167333,33.66666667,76.6,40.33333333,259.6,,,137.9639333
2026-03-13 13:45:00,156.3277333,139.3765333,232.1372667,33.86666667,183.1671333,156.5631667,38.6,70.2,38.13333333,126.8666667,,,155.1505667
2026-03-13 14:00:00,150.4419,146.4395333,213.3026,36.2,171.8663333,166.6868,45.8,71.73333333,37.4,116,,,136.3159
2026-03-13 14:15:00,140.0828333,175.8687,215.8923667,36.73333333,193.7616333,181.7545333,41.86666667,57.53333333,37.8,136.2666667,,,145.7332333
2026-03-13 14:30:00,154.4442667,185.0506,220.6010333,36,189.7592667,189.2884,37,67.13333333,37.93333333,118.0666667,,,170.6891667
