Date/Time,1502_O_BLPK,1639_O_ELIB,2071_O_NOSD,2281_O_HiPK,2319_O_DWNTN,4209_O_LWCV,4363_O_SQHS,4431_O_WBG,4691_O_SWKY,4919_O_HIPK,5309_O_SQHL,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6227_O_ELIB,6399_O_GLEN,7543_O_MILL,8284_O_SWPK
2017-01-12 09:15:00,,,636.8666666666667,573.2,516.6,,,,,,571.8666666666667,10501.266666666666,10501.266666666666,557.8,632.2,675.8,557.0,507.2
2017-01-12 09:30:00,,,607.6,577.2666666666668,506.9333333333333,,,,,,541.8,9274.866666666667,9274.866666666667,530.0,626.6666666666666,643.4,591.3333333333334,515.0666666666667
2017-01-12 09:45:00,,,610.0666666666667,630.0666666666667,525.1333333333333,,,,,,543.8,8825.266666666666,8825.266666666666,517.0,637.4666666666667,604.4,630.4,526.3333333333334
2017-01-12 10:00:00,,,592.4666666666667,623.6,671.8,,,,,,527.5333333333333,9058.266666666666,9058.266666666666,534.4666666666667,649.0,586.7333333333332,599.0666666666667,505.0
2017-01-12 10:15:00,,,631.3333333333334,600.4,526.5333333333333,,,,,,559.4666666666667,7818.266666666666,7818.266666666666,539.8,690.0666666666667,575.2,595.8,515.3333333333334
2017-01-12 10:30:00,,,650.0666666666667,597.0,584.8,,,,,,580.8,6026.9333333333325,6026.9333333333325,570.0,675.7333333333332,588.8,596.8,561.4666666666667
2017-01-12 10:45:00,,,715.7333333333332,592.8,704.8666666666667,,,,,,587.0,5401.333333333333,5401.333333333333,619.8,666.6,625.4666666666667,582.8,596.6666666666666
2017-01-12 11:00:00,,,763.0666666666667,580.5333333333333,728.0666666666667,,,,,,588.2,5768.2,5768.2,635.8666666666667,654.3333333333334,642.4,570.7333333333332,626.3333333333334
2017-01-12 11:15:00,,,722.7333333333332,605.5333333333333,1024.0,,,,,,588.2666666666668,4480.266666666666,4480.266666666666,579.7333333333332,665.7333333333332,681.8666666666667,585.9333333333333,562.6
2017-01-12 11:30:00,,,655.4666666666667,638.6,760.6,,,,,,595.2666666666668,5200.8,5200.8,574.7333333333332,670.2666666666668,711.7333333333332,594.9333333333333,527.6666666666666
2017-01-12 11:45:00,,,641.3333333333334,634.0,652.7333333333332,,,,,,561.9333333333333,4289.4,4289.4,547.0,710.8,650.2,645.6666666666666,509.4666666666666
