Date/Time,5388_O_OHRA,9991_O_ALTO,5635_O_SEWY,8445_O_LNPL,9063_O_COLS,1400_O_MCCA,4749_O_JEFF,9267_O_SQHL,3050_O_OHCO,1266_O_WLKG
2026-05-02 18:30:00,235.26666667,780.13333333,,435.6,215.26666667,286.8,760.13333333,285.8,,
2026-05-02 18:45:00,252.73333333,784.4,,347.53333333,160.2,262.66666667,756.33333333,297.06666667,,
2026-05-02 19:00:00,332.46666667,750.73333333,,340.86666667,183.13333333,257.73333333,1845.73333333,325.66666667,,
2026-05-02 19:15:00,257.33333333,701.26666667,,327.46666667,216.93333333,323.0,1505.86666667,292.4,,
2026-05-02 19:30:00,257.93333333,825.66666667,,287.73333333,261.53333333,300.53333333,1827.13333333,307.0,,
2026-05-02 19:45:00,334.6,629.8,,384.86666667,193.33333333,496.93333333,1815.4,311.33333333,,
2026-05-02 20:00:00,281.46666667,553.53333333,,291.26666667,228.26666667,393.6,3305.66666667,315.2,,
2026-05-02 20:15:00,1392.66666667,655.6,,311.26666667,251.6,404.13333333,735.93333333,321.86666667,,
2026-05-02 20:30:00,302.53333333,678.6,,349.33333333,364.86666667,558.0,392.2,342.53333333,,
2026-05-02 20:45:00,312.73333333,640.8,,324.73333333,430.46666667,372.4,387.53333333,350.93333333,,
2026-05-02 21:00:00,311.93333333,616.0,,326.6,712.53333333,388.2,388.73333333,359.66666667,,
2026-05-02 21:15:00,308.06666667,578.0,,389.73333333,653.6,1567.06666667,369.8,353.93333333,,
2026-05-02 21:30:00,306.66666667,501.0,,521.33333333,394.66666667,1062.13333333,786.6,380.33333333,,
2026-05-02 21:45:00,354.13333333,442.46666667,,536.2,433.93333333,563.46666667,1246.66666667,407.33333333,,
2026-05-02 22:00:00,356.46666667,539.73333333,,562.4,755.86666667,412.13333333,4479.26666667,526.33333333,,
2026-05-02 22:15:00,374.93333333,352.73333333,,558.46666667,2393.46666667,404.13333333,1774.6,471.8,,
2026-05-02 22:30:00,459.2,279.46666667,,538.13333333,870.0,405.8,457.86666667,475.6,,
2026-05-02 22:45:00,557.26666667,299.33333333,,579.86666667,704.4,429.66666667,619.33333333,513.33333333,,
2026-05-02 23:00:00,984.33333333,379.13333333,,572.26666667,911.46666667,643.06666667,5458.53333333,513.26666667,,
2026-05-02 23:15:00,881.46666667,303.86666667,,667.26666667,1164.53333333,830.93333333,3239.93333333,531.0,,
2026-05-02 23:30:00,563.46666667,309.06666667,,817.33333333,1512.6,882.73333333,3858.53333333,557.4,,
2026-05-02 23:45:00,648.6,308.73333333,,842.33333333,1387.6,891.93333333,671.93333333,611.53333333,,
2026-05-03 00:00:00,521.2,332.86666667,,810.8,1445.93333333,852.8,552.93333333,671.73333333,,
2026-05-03 00:15:00,605.0,360.13333333,,791.33333333,1055.0,857.0,554.73333333,742.06666667,,
2026-05-03 00:30:00,620.53333333,381.46666667,,730.73333333,1093.8,880.4,631.06666667,742.13333333,,
2026-05-03 00:45:00,701.33333333,432.8,,828.26666667,1142.13333333,917.0,622.66666667,842.26666667,,
2026-05-03 01:00:00,668.8,421.73333333,,885.13333333,1104.26666667,973.06666667,650.33333333,922.6,,
2026-05-03 01:15:00,747.73333333,457.06666667,,947.0,1044.86666667,1001.53333333,1706.66666667,996.66666667,,
2026-05-03 01:30:00,629.2,485.66666667,,977.8,943.53333333,1046.66666667,836.66666667,973.0,,
2026-05-03 01:45:00,674.86666667,502.4,,984.26666667,909.73333333,1077.53333333,1033.33333333,979.2,,
2026-05-03 02:00:00,726.53333333,542.0,,920.73333333,921.0,1048.26666667,1256.46666667,974.26666667,,
2026-05-03 02:15:00,721.33333333,542.0,,906.6,935.13333333,1059.8,1200.0,935.66666667,,
2026-05-03 02:30:00,738.33333333,588.8,,933.33333333,926.93333333,1068.66666667,1123.53333333,925.26666667,,
2026-05-03 02:45:00,820.0,595.73333333,,937.73333333,1124.73333333,1047.0,932.86666667,977.53333333,,
