Date/Time,1502_O_BLPK,1637_O_BELL,2071_O_NOSD,2130_O_MTOV,2281_O_HiPK,2535_O_RGSQ,3555_O_SCLL,3798_O_BRKN,4363_O_SQHS,4431_O_WBG,4530_O_CNTP,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,5761_O_SOSD,6360_O_PTBR,7543_O_MILL,8183_O_MILL,8304_O_SQHS,8356_O_OHRA,8941_O_MTLE
2017-10-22 00:30:00,4565.133333333333,3308.6,4370.2,,,5100.133333333333,,1546.4,5011.4,1931.8,1456.0,892.4666666666667,892.4666666666667,3685.666666666666,3357.066666666666,3679.4666666666662,4330.866666666667,,4822.466666666666,2274.5333333333333,
2017-10-22 00:45:00,4288.066666666667,3461.4,4493.0,,,5360.666666666667,,1435.466666666667,5660.533333333334,1924.0666666666666,1416.2666666666669,812.2666666666668,812.2666666666668,3643.333333333334,3498.6,3809.933333333333,4417.466666666666,,5651.333333333332,2411.266666666667,
2017-10-22 01:00:00,4133.466666666666,3567.933333333333,4518.8,,,5698.2,,1320.8666666666666,4632.866666666667,1993.666666666667,1502.666666666667,861.8666666666667,861.8666666666667,3620.0,3312.0,3973.666666666666,4591.0,,4445.0,3008.666666666666,
2017-10-22 01:15:00,3799.4666666666662,3590.4666666666667,4597.533333333334,,,5851.333333333332,,1193.1333333333334,4159.533333333334,2098.333333333333,1661.0666666666666,1080.3333333333333,1080.3333333333333,3647.133333333333,3298.933333333333,3756.5333333333333,4506.4,,4915.133333333333,3437.5333333333333,
2017-10-22 01:30:00,3600.266666666667,3608.2,4596.333333333333,,,5855.133333333332,,1124.8,4224.333333333333,2199.333333333333,2057.8,1200.7333333333333,1200.7333333333333,3846.133333333333,3415.2,3792.6,4518.933333333333,,4835.4,3421.4,
2017-10-22 01:45:00,3613.0,3617.2,4635.266666666666,,,5565.333333333332,,1105.7333333333333,4304.533333333334,2029.6,2369.0666666666666,876.6,876.6,3909.866666666667,3794.2,4064.933333333333,4659.2,,4466.333333333333,3370.6,
2017-10-22 02:00:00,3490.933333333333,3772.0,4651.933333333333,,,5854.4,,1135.4,5413.666666666667,2149.0,2341.933333333333,864.2,864.2,3956.266666666667,4085.333333333334,4185.533333333334,4647.733333333334,,5136.333333333333,2520.133333333333,
2017-10-22 02:15:00,3427.133333333333,3764.266666666667,4903.4,,,5618.4,,1133.7333333333333,6934.8,2216.4666666666667,2329.333333333333,809.2666666666668,809.2666666666668,3898.6,4095.866666666667,4106.2,4738.133333333333,,7356.466666666666,2508.4666666666667,
2017-10-22 02:30:00,3434.933333333333,3893.4666666666662,4970.066666666667,,,5635.466666666666,,1109.2666666666667,7985.666666666668,2013.7333333333331,2400.8,770.0,770.0,3745.866666666667,4233.133333333333,4307.266666666666,4961.933333333333,,8887.333333333334,2638.2,
2017-10-22 02:45:00,3407.066666666666,3775.333333333334,4879.933333333333,,,5685.2,,1155.0666666666666,16310.266666666665,2108.5333333333333,2666.133333333333,758.0,758.0,3641.4666666666662,4205.066666666667,4431.666666666667,4801.133333333333,,12620.333333333336,2505.733333333333,
2017-10-22 03:00:00,3486.5333333333333,3807.4666666666662,4816.733333333334,,,6093.133333333332,,1201.0,18381.0,2330.6,2288.933333333333,745.1333333333333,745.1333333333333,3498.733333333333,4332.933333333333,4894.733333333334,5095.4,,15757.0,2441.4666666666667,
2017-10-22 03:15:00,3331.666666666666,3847.2,4742.866666666667,,,6537.9333333333325,,1318.8,16976.266666666666,2455.0666666666666,2341.0,759.7333333333332,759.7333333333332,3440.0,4666.4,5874.0,5201.0,,16887.333333333332,2500.0666666666666,
2017-10-22 03:30:00,3316.4666666666667,4145.333333333333,4688.533333333334,,,6569.466666666666,,1368.0,11627.333333333336,2527.4666666666667,2514.333333333333,754.0,754.0,3319.8,4943.0,6389.866666666668,5130.466666666666,,15143.8,2475.933333333333,
2017-10-22 03:45:00,3373.333333333333,4256.533333333334,4614.4,,,6513.9333333333325,,1470.8,8097.733333333334,2328.0666666666666,2511.0666666666666,766.2,766.2,3140.133333333333,4650.533333333334,7354.0,5264.0,,12128.266666666665,2497.133333333333,
2017-10-22 04:00:00,3366.5333333333333,4406.066666666667,4628.666666666667,,,6874.8,,1488.2,6998.333333333332,2380.133333333333,2566.8,775.8,775.8,3090.133333333333,5032.733333333334,7748.266666666666,5294.666666666667,,8910.866666666667,2393.0666666666666,
2017-10-22 04:15:00,3418.4,4222.333333333333,4671.933333333333,,,8642.6,,1335.0,6672.0666666666675,2253.6,2537.133333333333,759.8666666666667,759.8666666666667,3083.666666666666,4839.533333333334,9074.866666666667,5288.933333333333,,7292.0666666666675,2357.6666666666665,
